City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
251,Faanui,PF,2020-08-17 15:24:56,-16.48,-151.75,77.7,72,66,11.3
252,Urumqi,CN,2020-08-17 15:22:07,43.8,87.6,80.6,30,26,4.47
253,Grand-Santi,GF,2020-08-17 15:24:57,4.25,-54.38,88.66,57,48,4.9
254,Severo-Kurilsk,RU,2020-08-17 15:24:57,50.68,156.12,50.68,90,67,0.63
255,Goure,NE,2020-08-17 15:24:57,13.98,10.27,91.0,59,58,3.0
256,Whitehorse,CA,2020-08-17 15:21:32,60.72,-135.05,50.0,100,90,2.24
257,Buckeye,US,2020-08-17 15:24:58,33.37,-112.58,98.01,30,1,5.82
258,Sao Filipe,CV,2020-08-17 15:24:58,14.9,-24.5,78.35,86,50,4.76
259,Vestmanna,FO,2020-08-17 15:24:58,62.16,-7.17,55.4,82,29,1.12
260,Pisco,PE,2020-08-17 15:24:58,-13.7,-76.22,62.6,77,90,2.24
261,Acarau,BR,2020-08-17 15:24:59,-2.89,-40.12,89.28,39,15,17.54
262,Bredy,RU,2020-08-17 15:24:59,52.42,60.34,55.42,74,34,11.18
263,Lianzhou,CN,2020-08-17 15:24:59,24.78,112.38,77.22,85,100,1.23
264,San Cristobal,VE,2020-08-17 15:24:59,7.77,-72.22,77.0,94,75,3.36
265,Zhigansk,RU,2020-08-17 15:24:59,66.77,123.37,47.93,53,2,8.52
266,Coquimbo,CL,2020-08-17 15:25:00,-29.95,-71.34,50.0,87,90,3.36
267,Mayumba,GA,2020-08-17 15:25:00,-3.43,10.66,75.94,80,100,8.1
268,Wamba,NG,2020-08-17 15:25:00,8.93,8.6,83.59,69,73,3.87
269,College,US,2020-08-17 15:25:00,64.86,-147.8,51.01,87,40,4.7
270,Jiexiu,CN,2020-08-17 15:25:01,37.02,111.91,73.13,77,100,7.02
271,Goya,AR,2020-08-17 15:25:01,-29.14,-59.26,67.12,28,0,5.97
272,Belaya Gora,RU,2020-08-17 15:25:01,68.53,146.42,43.43,81,100,7.49
273,Bambanglipuro,ID,2020-08-17 15:25:02,-7.95,110.28,76.95,81,79,8.41
274,Fairbanks,US,2020-08-17 15:25:02,64.84,-147.72,46.99,87,1,9.17
275,Parana,AR,2020-08-17 15:25:02,-31.73,-60.52,69.01,21,0,4.0
276,Caravelas,BR,2020-08-17 15:20:55,-17.71,-39.25,80.89,63,23,10.89
277,Glace Bay,CA,2020-08-17 15:25:03,46.2,-59.96,64.99,86,100,1.01
278,Gamba,GA,2020-08-17 15:25:03,-2.65,10.0,77.34,76,75,10.25
279,Kosh-Agach,RU,2020-08-17 15:25:03,50.0,88.67,53.01,62,29,4.36
280,Bhainsdehi,IN,2020-08-17 15:25:04,21.65,77.63,73.29,97,100,5.73
281,Sola,VU,2020-08-17 15:25:04,-13.88,167.55,80.6,94,90,10.22
282,Jinji,CN,2020-08-17 15:25:04,23.23,110.83,78.82,88,100,2.51
283,Bradu,RO,2020-08-17 15:25:04,44.78,24.9,79.0,55,5,6.51
284,Tanabe,JP,2020-08-17 15:25:04,33.73,135.37,84.0,74,93,4.65
285,Vao,NC,2020-08-17 15:25:05,-22.67,167.48,69.53,93,93,11.23
286,Bubaque,GW,2020-08-17 15:25:05,11.28,-15.83,80.04,84,100,18.12
287,Ampanihy,MG,2020-08-17 15:25:05,-24.7,44.75,72.75,61,0,12.44
288,Champerico,GT,2020-08-17 15:25:05,14.3,-91.92,80.6,83,75,3.83
289,Darnah,LY,2020-08-17 15:25:06,32.77,22.64,81.81,63,0,17.63
290,Houston,US,2020-08-17 15:22:05,29.76,-95.36,79.0,73,40,4.7
291,Burnie,AU,2020-08-17 15:25:06,-41.07,145.92,48.99,84,66,3.0
292,Promyshlennyy,RU,2020-08-17 15:25:07,67.58,63.92,51.62,67,100,4.68
293,Launceston,AU,2020-08-17 15:20:24,-41.45,147.17,48.0,100,75,6.93
